task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,uniform,uniform,0.09806364787715796,0.35588198349018235,0.0633221700285944,1.0
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.2,sigma=0.05",0.12034765213111676,0.3571467669651588,0.08843855155064301,0.4998345586390105
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.2,sigma=0.1",0.11064816622478219,0.3289962615538941,0.08122537323717136,0.7790994239664868
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.10343733301435365,0.3400290138787944,0.0715561845290744,0.9353292680254458
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.5,sigma=0.05",0.15457912089853215,0.3736760310468546,0.12505542378634682,0.13785236540787038
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.5,sigma=0.1",0.13707206583861212,0.32309133157626774,0.11200563995906986,0.3607396001928329
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.5,sigma=0.2",0.10960037274512797,0.3205161653940502,0.08117909572151434,0.6982563383603562
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.8,sigma=0.05",0.2029266748765136,0.45468181976790706,0.16900222272802798,0.058786902571936805
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.8,sigma=0.1",0.1650194136032789,0.32524793785543277,0.14342833586717307,0.1806184915571864
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=0.8,sigma=0.2",0.12009894702454192,0.2974895286461705,0.09619525162871966,0.47477173432807196
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=1.0,sigma=0.05",3.4332552951971267,0.651126977273861,3.8081520188889137,0.038437072360114
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=1.0,sigma=0.1",0.45944143320667047,0.308166059551965,0.47982605802538963,0.12363490458583924
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,weakspot,"weakspot|alpha=1.0,sigma=0.2",0.14991203730834907,0.2848497499143386,0.13172894128342844,0.3664943221517402
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,loss,loss|alpha=0.2,0.10792705512490579,0.33859423142886447,0.0768442441335922,0.9218390450852723
