dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
houses,sparse_init,outlier,all_data,9.163891719053739,1.7763568394002505e-15,11.10789443195389,3.552713678800501e-15,2.1316282072803006e-14
medical_charges,hard,clean,uniform,2.387222631081342,4.440892098500626e-14,0.888322147119165,0.025500083179634814,4.440892098500626e-13
medical_charges,hard,clean,kcenter,2.312805896021963,1.4895306321704993e-08,0.8147724944309395,0.0022762251098509267,1.1916245057363994e-07
medical_charges,hard,clean,kcenter_a1,2.3059248836072066,1.080529443697742e-09,0.6082512015785869,0.15714035289247086,9.724764993279678e-09
medical_charges,hard,clean,loss,-4.520166099710622,3.552713678800501e-15,-1.106758759599366,0.16001685587048975,3.907985046680551e-14
medical_charges,hard,clean,jtt,-11.219427043332884,1.7763568394002505e-15,-3.6193762744344466,7.518488965629899e-06,2.1316282072803006e-14
medical_charges,hard,clean,rho,0.8810916994534533,0.004757046552823496,0.24768880266463647,0.18444897927691706,0.02378523276411748
medical_charges,hard,clean,rho_a1,-0.5768924360599014,0.35217499509373695,-1.9776966680779955,0.011200519477185367,0.4976603963831785
medical_charges,hard,clean,ws_default,0.3260550750001757,0.19095974436218555,0.23684331767284003,0.5210251168620434,0.4976603963831785
medical_charges,hard,clean,ws_tuned,0.7142724459056927,0.002356807144249018,1.170875235260849,0.0005294876867694143,0.014140842865494108
medical_charges,hard,clean,rho_landscape_a1,-0.8880081083822613,0.08401577354329604,-3.221229627685356,1.8759072675678112e-05,0.33606309417318414
medical_charges,hard,clean,rho_filter_a1,0.6290940080338351,0.16588679879439283,-0.03142032763859164,0.8707939059443142,0.4976603963831785
medical_charges,hard,clean,all_data,3.711006139254486,2.1499046276574063e-07,2.6765750662374312,1.1326234101716182e-06,1.5049332393601844e-06
medical_charges,hard,outlier,uniform,5.639679020785038,2.5226754019058717e-10,1.6880207490362935,0.001190697289374043,2.0181403215246974e-09
medical_charges,hard,outlier,kcenter,4.217770084694639,2.305757291765076e-07,1.2992841195893192,0.01806109651468013,1.6140301042355532e-06
medical_charges,hard,outlier,kcenter_a1,6.012614806218344,2.239985974483716e-12,2.1974753512312035,0.0004153236253312542,2.2399859744837158e-11
medical_charges,hard,outlier,loss,-20.085740179320577,1.7763568394002505e-15,-3.3352909042354435,9.468707561843814e-05,2.1316282072803006e-14
medical_charges,hard,outlier,jtt,-51.663204473233975,1.7763568394002505e-15,-9.890686028965158,4.9604764740251994e-11,2.1316282072803006e-14
medical_charges,hard,outlier,rho,2.325996602044489,0.004912360514200742,1.0458665529777977,0.0069413795797625966,0.019649442056802968
medical_charges,hard,outlier,rho_a1,1.6365548697595953,0.016637745581261854,-0.07441353736374633,0.3829036913273498,0.04991323674378556
medical_charges,hard,outlier,ws_default,0.2762963357344021,0.5086300594933544,0.3707265654259162,0.5720861414815896,0.5086300594933544
medical_charges,hard,outlier,ws_tuned,2.1549147635190433,0.0014846473444478647,1.430088153190941,0.0017779629774352657,0.007423236722239324
medical_charges,hard,outlier,rho_landscape_a1,1.361860410611148,0.07885790741956278,-1.2765146662126674,0.30905100446984335,0.15771581483912556
medical_charges,hard,outlier,rho_filter_a1,3.1872688259136885,5.6804637029728156e-06,1.6490544002756597,0.005579489549422334,3.408278221783689e-05
medical_charges,hard,outlier,all_data,9.165258363610603,3.0890845437170356e-12,4.4655263345494705,3.0890845437170356e-12,2.780176089345332e-11
medical_charges,hard_sparse,clean,uniform,2.482795701513137,1.5961560961841315e-09,1.5764159656464902,0.0003378810943459598,1.2769248769473052e-08
medical_charges,hard_sparse,clean,kcenter,2.3699980726777476,2.0232171493717033e-10,1.8446007045311061,1.7805245978053108e-05,2.0232171493717033e-09
medical_charges,hard_sparse,clean,kcenter_a1,2.633850365980935,3.489741828843762e-10,1.5268417984846216,0.013686934524772099,3.140767645959386e-09
medical_charges,hard_sparse,clean,loss,-5.762462490044983,1.2434497875801753e-13,-0.514448210132454,0.10953049393459402,1.3677947663381929e-12
medical_charges,hard_sparse,clean,jtt,-16.021099047907057,1.7763568394002505e-15,-4.288125172716655,2.0039570713947796e-07,2.1316282072803006e-14
medical_charges,hard_sparse,clean,rho,0.8249668948337087,0.008848884696840642,0.5053875234243232,0.4843032319103049,0.026546654090521926
medical_charges,hard_sparse,clean,rho_a1,-0.7057497314667937,0.35718707191412413,-0.5739705021348176,0.21866240175859453,0.5306753419765649
medical_charges,hard_sparse,clean,ws_default,0.9107082369377265,0.002896310240339872,0.46672135841309836,0.5086300594933544,0.01448155120169936
medical_charges,hard_sparse,clean,ws_tuned,1.2783831820848384,0.0009149367393188612,1.2221230598482178,0.21148488261323095,0.005489620435913167
medical_charges,hard_sparse,clean,rho_landscape_a1,-0.7032229724233059,0.2653376709882824,-1.1394563734245466,0.00939211543820484,0.5306753419765649
medical_charges,hard_sparse,clean,rho_filter_a1,1.1288107189751848,0.002896310240339872,-0.6397129326821449,0.10110987171644048,0.01448155120169936
