dataset,region,noise,seed,n_init,iters_initial,init_mae,init_in,init_out,region_share_R,prec_knn,prec_evtgpr,arm,alpha,top_q,mae,err_in,err_out,n_in_region,error
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_knn,1.0,0.95,0.16135577947634333,0.40731261141459696,0.13740113603654086,43.0,
synth2d,hard,clean,6103,250,400,0.3541874299379276,0.5714675696396772,0.33302571537163916,0.108,0.30038022813688214,0.34220532319391633,ws_region_evtgpr,1.0,0.85,0.16783306930687622,0.4129876577666403,0.14395655931971124,67.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,random,0.0,,0.210631465453306,0.573990514651964,0.16890796259102983,,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.1,0.7,0.20423602726067702,0.5268070393405333,0.1671961005670034,22.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.1,0.85,0.21609658885751298,0.5427974527313991,0.17858244283854946,24.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.1,0.95,0.21914659307185805,0.5599536937012857,0.18001266735855698,22.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_evtgpr,0.1,0.85,0.2105979681173418,0.5370630057402912,0.17311090136688045,23.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.2,0.7,0.20721126632385078,0.5137888043481383,0.17200782550277877,21.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.2,0.85,0.21183368159069735,0.4915177801025299,0.17971833917518035,28.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.2,0.95,0.19416414232443113,0.4921140308838948,0.1599513903493756,36.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_evtgpr,0.2,0.85,0.20269122826930702,0.4828366870692184,0.1705229091428958,37.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.35,0.7,0.2075139222572655,0.5300856914298477,0.1704739086287527,23.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.35,0.85,0.20747028772604773,0.5066996216565398,0.17311062061920196,27.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.35,0.95,0.22438460739885874,0.5197947883512468,0.19046348294167262,37.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_evtgpr,0.35,0.85,0.2027379295593859,0.47704497534405155,0.17124001906237304,37.0,
synth2d,hard,clean,6104,250,400,0.5143960665576988,0.8590785470154106,0.47481714182286683,0.10342857142857143,0.2965779467680608,0.2661596958174905,ws_region_knn,0.5,0.7,0.20553263108233888,0.5350184770002359,0.16769869336824367,25.0,
