dataset,region,noise,seed,region_share_R,detector,mae,err_in,secs,prec,error
synth2d,hard,outlier,6202,0.11666666666666667,GPR/kNN (disagreement-amplified),0.218298231678383,0.4110494634408635,3.594804525375366,0.09734513274336283,
synth2d,hard,outlier,6202,0.11666666666666667,Local GPR (QR-localised),0.17140896903828387,0.3524933681045301,1.0921475887298584,0.2920353982300885,
synth2d,hard,outlier,6203,0.11066666666666666,random,0.2256767721608966,0.3873530740141503,,,
synth2d,hard,outlier,6203,0.11066666666666666,"kNN (LOO, default)",0.19810481182710152,0.3733443207193742,0.012120246887207031,0.18666666666666668,
synth2d,hard,outlier,6203,0.11066666666666666,Gaussian Process Regression,0.20997617606394556,0.3709825786145611,3.1426844596862793,0.09292035398230089,
synth2d,hard,outlier,6203,0.11066666666666666,Polynomial Response Surface,0.2192536303255421,0.37442036241832505,0.013804435729980469,0.0,
synth2d,hard,outlier,6203,0.11066666666666666,RBF Interpolation,0.20115101625120632,0.35930081394530244,0.06448197364807129,0.1504424778761062,
synth2d,hard,outlier,6203,0.11066666666666666,kNN Performance Mapping,0.20537145618136252,0.363325580401463,0.026288270950317383,0.18141592920353983,
synth2d,hard,outlier,6203,0.11066666666666666,LOESS Local Regression,0.219136626365511,0.3650421370163501,0.35657739639282227,0.2831858407079646,
synth2d,hard,outlier,6203,0.11066666666666666,Quantile Regression,0.21659399450619493,0.36754927558159683,0.30309128761291504,0.11066666666666666,
synth2d,hard,outlier,6203,0.11066666666666666,Peaks over Threshold (EVT),0.21986753032683923,0.3860414190290215,0.02027130126953125,0.252212389380531,
synth2d,hard,outlier,6203,0.11066666666666666,Bayesian Optimization (EI),0.23049255208194935,0.38725140860297685,5.75893235206604,0.048672566371681415,
synth2d,hard,outlier,6203,0.11066666666666666,kNN + GPR (mean),0.21319286625657846,0.38438675877984696,4.591317415237427,0.14601769911504425,
synth2d,hard,outlier,6203,0.11066666666666666,kNN + Quantile (mean),0.20193650027789578,0.3698683975066382,0.15009593963623047,0.18141592920353983,
synth2d,hard,outlier,6203,0.11066666666666666,Anchored GPR (QR prior),0.216083758473307,0.38991131613316027,4.263200044631958,0.09292035398230089,
synth2d,hard,outlier,6203,0.11066666666666666,Gated GPR (QR anchor),0.22126060596594083,0.3636434536049422,3.9959988594055176,0.11061946902654868,
synth2d,hard,outlier,6203,0.11066666666666666,QR × GPR (geometric),0.22097074058764798,0.3750033100117283,3.982652187347412,0.11066666666666666,
synth2d,hard,outlier,6203,0.11066666666666666,EVT × GPR (geometric),0.2153309976305076,0.37444403585976405,4.164984226226807,0.2345132743362832,
synth2d,hard,outlier,6203,0.11066666666666666,GPR/kNN (variance-weighted),0.2147928513309845,0.37579877275705453,3.386117935180664,0.14601769911504425,
synth2d,hard,outlier,6203,0.11066666666666666,GPR/kNN (disagreement-amplified),0.22692545025765035,0.36793053630495093,4.0811121463775635,0.084070796460177,
synth2d,hard,outlier,6203,0.11066666666666666,Local GPR (QR-localised),0.2276008964782913,0.3733056584074114,4.074269533157349,0.23008849557522124,
synth2d,hard,outlier,6204,0.118,random,0.21600906125226035,0.49572340699691464,,,
synth2d,hard,outlier,6204,0.118,"kNN (LOO, default)",0.19257384392296267,0.4715242832038961,0.011994123458862305,0.27555555555555555,
synth2d,hard,outlier,6204,0.118,Gaussian Process Regression,0.221455925595414,0.5263849882243687,3.5998761653900146,0.28761061946902655,
synth2d,hard,outlier,6204,0.118,Polynomial Response Surface,0.19228860464606867,0.46237373823337,0.013543844223022461,0.24336283185840707,
synth2d,hard,outlier,6204,0.118,RBF Interpolation,0.20032577948664984,0.5511148723868802,0.05431485176086426,0.23008849557522124,
synth2d,hard,outlier,6204,0.118,kNN Performance Mapping,0.20904542242665067,0.4951135455175774,0.027646541595458984,0.252212389380531,
synth2d,hard,outlier,6204,0.118,LOESS Local Regression,0.19941183421783487,0.4803889506429025,0.39785265922546387,0.1592920353982301,
synth2d,hard,outlier,6204,0.118,Quantile Regression,0.23013304882224148,0.4655225581428172,0.22226667404174805,0.13789107763615296,
synth2d,hard,outlier,6204,0.118,Peaks over Threshold (EVT),0.23189770450760513,0.4879789207117423,0.027987957000732422,0.3141592920353982,
synth2d,hard,outlier,6204,0.118,Bayesian Optimization (EI),0.20903698758183759,0.4764940718107273,3.052145481109619,0.3141592920353982,
synth2d,hard,outlier,6204,0.118,kNN + GPR (mean),0.20467669645622222,0.48513507937909334,3.9610538482666016,0.27876106194690264,
synth2d,hard,outlier,6204,0.118,kNN + Quantile (mean),0.20390809848174868,0.47956357122843946,0.275409460067749,0.3141592920353982,
synth2d,hard,outlier,6204,0.118,Anchored GPR (QR prior),0.2088367946942514,0.4850256183395743,3.444507122039795,0.28761061946902655,
synth2d,hard,outlier,6204,0.118,Gated GPR (QR anchor),0.21035055819986342,0.5272195230758434,3.3610732555389404,0.06637168141592921,
synth2d,hard,outlier,6204,0.118,QR × GPR (geometric),0.20603332890983064,0.48936409169807943,4.014145135879517,0.14947856315179606,
synth2d,hard,outlier,6204,0.118,EVT × GPR (geometric),0.21002057192331344,0.5364971195989949,4.069203615188599,0.3053097345132743,
synth2d,hard,outlier,6204,0.118,GPR/kNN (variance-weighted),0.19979574582912193,0.49481967978733615,3.4811975955963135,0.252212389380531,
synth2d,hard,outlier,6204,0.118,GPR/kNN (disagreement-amplified),0.20422284446307187,0.5026273112977149,2.7099947929382324,0.26991150442477874,
synth2d,hard,outlier,6204,0.118,Local GPR (QR-localised),0.2097794975436973,0.519392710973297,4.087871074676514,0.022123893805309734,
synth2d,sparse_all,clean,6200,0.03,random,0.09991022615929172,0.14751705709744706,,,
synth2d,sparse_all,clean,6200,0.03,"kNN (LOO, default)",0.09411073579618302,0.11073406663768835,0.011021137237548828,0.06666666666666667,
