n_data,iters,amp,freq,seed,region,init_mae,const_mae,ratio,p_gate,dist
500,200,3.0,5.0,3009,hard,0.331908620113918,0.7664754168966371,1.8089744709961468,0.21,0.012320400497092755
500,200,3.0,5.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,3.0,5.0,3010,hard,0.3606303832153295,0.77642470971217,1.70799193703824,0.1,0.007811369142626654
500,200,3.0,5.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,3.0,5.0,3011,hard,0.36014318579943344,0.7780623888355767,1.8540641606428538,0.15,0.023073658372897942
500,200,3.0,5.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,3.0,5.0,3012,hard,0.34150394907143855,0.7665765215815465,1.9302598116034428,0.035,0.029716078558921187
500,200,3.0,5.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,3.0,5.0,3013,hard,0.3373311931627572,0.7742854377345196,1.9615628265137217,0.05,0.028012529365682205
500,200,3.0,5.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,3.0,5.0,3014,hard,0.8375310128393687,0.7920479480535466,1.24444993904467,0.005,0.3159783276843857
500,200,3.0,5.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,3.0,5.0,3015,hard,0.3391286507927807,0.7845539870044086,1.8033086071267093,0.005,0.03427962021634628
500,200,3.0,5.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,3.0,5.0,3016,hard,0.36158453202012014,0.7787777814347254,1.7126664970366456,0.045,0.014904114880805376
500,200,3.0,5.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,3.0,5.0,3017,hard,0.3338900194771097,0.7624856433441641,1.9080906482820084,0.045,0.005997586167339166
500,200,3.0,5.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,3.0,5.0,3018,hard,0.3494438743577912,0.7946472633815308,2.034830344308789,0.06,0.030119135945915386
500,200,3.0,5.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,3.0,5.0,3019,hard,0.32969491754962066,0.7728368374932668,2.0477012377599153,0.06,0.6181986393198409
500,200,3.0,5.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,400,1.0,3.0,3000,hard,0.7804012629821204,0.753502459370874,0.9656257833481761,0.005,0.29418522385370305
